run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR2178367	PRJEB23117	SAMEA104356093	ERX2234722	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/007/ERR2178367/ERR2178367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/007/ERR2178367/ERR2178367_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178367/SudC1_tot_1_14449_ACTTGA_read1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178367/SudC1_tot_1_14449_ACTTGA_read2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/007/ERR2178367	
ERR2178368	PRJEB23117	SAMEA104356093	ERX2234722	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/008/ERR2178368/ERR2178368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/008/ERR2178368/ERR2178368_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178368/SudC1_tot_2_13461_CTTGTA_read1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178368/SudC1_tot_2_13461_CTTGTA_read2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/008/ERR2178368	
ERR2178370	PRJEB23117	SAMEA104356094	ERX2234723	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/000/ERR2178370/ERR2178370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/000/ERR2178370/ERR2178370_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178370/SudC1_BrU_1b_14010_GTGGCC_read1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178370/SudC1_BrU_1b_14010_GTGGCC_read2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/000/ERR2178370	
ERR2178371	PRJEB23117	SAMEA104356094	ERX2234723	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/001/ERR2178371/ERR2178371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/001/ERR2178371/ERR2178371_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178371/SudC1_BrU_2a_14000_ACTTGA_read1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178371/SudC1_BrU_2a_14000_ACTTGA_read2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/001/ERR2178371	
ERR2178374	PRJEB23117	SAMEA104356095	ERX2234724	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/004/ERR2178374/ERR2178374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/004/ERR2178374/ERR2178374_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178374/SudK_tot_2_14446_GCCAAT_read1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178374/SudK_tot_2_14446_GCCAAT_read2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/004/ERR2178374	
ERR2178375	PRJEB23117	SAMEA104356096	ERX2234725	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/005/ERR2178375/ERR2178375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/005/ERR2178375/ERR2178375_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178375/SudK_BrU_1a_14007_TAGCTT_read1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178375/SudK_BrU_1a_14007_TAGCTT_read2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/005/ERR2178375	
ERR2178355	PRJEB23117	SAMEA104356089	ERX2234718	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/005/ERR2178355/ERR2178355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/005/ERR2178355/ERR2178355_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178355/DMSO_tot_1_14444_ACAGTG_read1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178355/DMSO_tot_1_14444_ACAGTG_read2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/005/ERR2178355	
ERR2178357	PRJEB23117	SAMEA104356090	ERX2234719	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/007/ERR2178357/ERR2178357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/007/ERR2178357/ERR2178357_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178357/DMSO_BrU_1a_14005_TTAGGC_read1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178357/DMSO_BrU_1a_14005_TTAGGC_read2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/007/ERR2178357	
ERR2178364	PRJEB23117	SAMEA104356092	ERX2234721	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/004/ERR2178364/ERR2178364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/004/ERR2178364/ERR2178364_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178364/SSA_BrU_1b_14009_AGTCAA_read1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178364/SSA_BrU_1b_14009_AGTCAA_read2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/004/ERR2178364	
ERR2178366	PRJEB23117	SAMEA104356092	ERX2234721	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/006/ERR2178366/ERR2178366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/006/ERR2178366/ERR2178366_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178366/SSA_BrU_2b_13999_ATCACG_read1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178366/SSA_BrU_2b_13999_ATCACG_read2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/006/ERR2178366	
ERR2178369	PRJEB23117	SAMEA104356094	ERX2234723	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/009/ERR2178369/ERR2178369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/009/ERR2178369/ERR2178369_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178369/SudC1_BrU_1a_14010_GTGGCC_read1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178369/SudC1_BrU_1a_14010_GTGGCC_read2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/009/ERR2178369	
ERR2178373	PRJEB23117	SAMEA104356095	ERX2234724	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/003/ERR2178373/ERR2178373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/003/ERR2178373/ERR2178373_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178373/SudK_tot_1_14445_GTGAAA_read1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178373/SudK_tot_1_14445_GTGAAA_read2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/003/ERR2178373	
ERR2178376	PRJEB23117	SAMEA104356096	ERX2234725	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/006/ERR2178376/ERR2178376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/006/ERR2178376/ERR2178376_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178376/SudK_BrU_1b_14007_TAGCTT_read1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR217/ERR2178376/SudK_BrU_1b_14007_TAGCTT_read2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/006/ERR2178376	
